product_id,mean,std,min,max,range,high_state_mean,low_state_mean,high_state_ratio,high_state_std,low_state_std,transition_point,transition_magnitude,trend_slope,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
18N078,133.4113106,283.6057933078182,-200.885,652.753,853.638,345.12326312849166,-179.78240429752069,0.5966666666666667,148.23026268032055,45.28908673973332,0.6166666666666667,124.6674,-2.8995657470905245,2.8199999,954,675,28,0,17,260,283,36,925,18,143,0,78,48.0,73,687
18N079,153.94997233333336,292.9444541628623,-201.627,633.06,834.6869999999999,373.39144419889504,-179.8223504201681,0.6033333333333334,139.54410480694835,39.166343294853526,0.5633333333333334,138.84,-3.111272353670596,2.23,944,566,52,0,389,466,135,10,2555,6,131,3,95,91.0,116,8
18N080,112.410168,254.27522277604072,-170.316,553.546,723.8620000000001,317.44587647058825,-155.71345076923077,0.5666666666666667,128.7492459976103,17.214942245939888,0.5666666666666667,56.6071,-2.702742930832566,2.52,931,282,33,0,39,226,219,49,2355,8,134,2,89,33.0,90,1
18N081,111.61419063333332,250.71787161039632,-168.338,544.153,712.491,311.1698122222222,-152.9130286821705,0.57,129.67042566504398,27.972714012032093,0.5233333333333333,67.236,-2.622141976775297,2.52,931,314,42,0,43,246,223,37,2411,11,134,2,79,26.0,87,1
18N082,96.93778733333335,248.72414484367917,-167.102,540.939,708.0409999999999,312.13625652173914,-152.32087122302158,0.5366666666666666,120.30378901506946,25.472573774968144,0.5366666666666666,66.9892,-2.545601676151957,2.52,931,245,46,0,42,277,213,54,2418,10,144,2,91,33.0,70,1
18N083,62.89121676666668,224.79876034625053,-228.653,473.868,702.521,231.51205833333333,-190.04004558333332,0.6,103.71238776279097,57.21808422403076,0.5733333333333334,75.0645,-2.265549247242747,2.52,931,316,42,0,43,245,221,36,2418,11,134,2,80,26.0,87,2
18N084,116.85245433333333,248.12214329664792,-170.563,550.827,721.39,311.69812126436784,-152.2201333333334,0.58,122.61351748020158,25.080916011530363,0.58,68.3075,-2.583804101312236,2.52,931,311,42,0,42,241,212,34,2433,10,131,2,82,26.0,86,2
18N085,127.40014794666666,250.35938137927965,-169.08,550.168,719.248,312.94179770165744,-154.8102605042017,0.6033333333333334,128.69875793057224,20.85544521464488,0.6066666666666667,111.56620000000001,-2.6654235080460897,2.52,931,295,42,0,45,245,225,36,2401,10,134,2,80,27.0,87,1
18N086,111.4771117,215.49536596603355,-146.503,477.328,623.8309999999999,279.9401034090909,-127.63165072580647,0.5866666666666667,99.99148599487624,20.3710123951836,1.0,0.0,-2.304797979970889,2.1700001,930,316,42,0,43,245,222,36,2415,11,134,2,79,26.0,87,2
18N087,117.35893693333334,221.72111328590597,-143.042,481.036,624.078,284.3765512849162,-129.71670743801653,0.5966666666666667,112.71974210019205,21.889533007624006,0.61,66.0007,-2.401236948810542,2.1700001,930,246,43,0,46,194,119,18,2343,19,131,3,79,35.0,81,1
