,IDENTIFIANT,EPAI_COILC,LARGCOILVISC,Aluminium,Azote,Bore,Carbone,Chrome,Cuivre,Etain,Manganese,Molybdene,Nickel,Niobium,Phosphore,Silicium,Soufre,Titane
0,18N078,2.8199999,954,675,28,0,17,260,283,36,925,18,143,0,78,48.0,73,687
1,18N079,2.23,944,566,52,0,389,466,135,10,2555,6,131,3,95,91.0,116,8
2,18N080,2.52,931,282,33,0,39,226,219,49,2355,8,134,2,89,33.0,90,1
3,18N081,2.52,931,314,42,0,43,246,223,37,2411,11,134,2,79,26.0,87,1
4,18N082,2.52,931,245,46,0,42,277,213,54,2418,10,144,2,91,33.0,70,1
5,18N083,2.52,931,316,42,0,43,245,221,36,2418,11,134,2,80,26.0,87,2
6,18N084,2.52,931,311,42,0,42,241,212,34,2433,10,131,2,82,26.0,86,2
7,18N085,2.52,931,295,42,0,45,245,225,36,2401,10,134,2,80,27.0,87,1
8,18N086,2.1700001,930,316,42,0,43,245,222,36,2415,11,134,2,79,26.0,87,2
9,18N087,2.1700001,930,246,43,0,46,194,119,18,2343,19,131,3,79,35.0,81,1
10,18N088,2.1700001,930,239,38,0,37,204,103,10,2437,16,123,2,83,27.0,96,1
11,18N089,2.1700001,930,278,47,2,42,227,118,15,2451,22,118,2,77,31.0,80,2
12,18N090,2.1700001,930,272,40,0,33,364,323,24,2535,30,209,3,101,32.0,93,1
13,18N091,2.1700001,930,246,40,1,38,271,180,19,2491,17,141,3,89,33.0,91,1
14,18N092,2.1700001,930,159,37,0,12,217,114,13,2628,10,121,2,82,42.0,85,1
15,18N093,2.1700001,930,159,37,0,15,217,114,13,2627,10,120,2,82,42.0,85,1
16,18N094,2.1700001,927,250,46,0,42,280,210,54,2420,10,140,2,91,33.0,70,1
17,18N095,2.02,920,511,61,0,345,451,97,33,2445,16,100,3,114,110.0,108,7
18,18N096,2.4200001,891,560,59,0,268,424,112,35,2233,11,109,3,96,65.0,108,2
19,18N097,2.8199999,864,680,32,0,18,239,276,38,938,18,142,0,69,51.0,71,694
20,18N098,2.8199999,864,681,32,0,18,237,276,39,939,18,142,0,69,51.0,71,695
21,18N099,2.8199999,864,681,32,0,18,237,276,39,940,18,142,0,69,52.0,71,695
22,18N100,2.6300001,792,583,44,0,348,483,305,62,2630,19,147,3,83,145.0,104,11
23,18P001,4.4499998,1039,341,47,28,2314,1701,120,14,11965,21,133,3,114,2584.0,10,394
24,18P002,4.25,1144,336,47,34,2246,1622,135,44,11449,21,131,3,105,2481.0,9,385
25,18P003,4.0500002,1137,336,47,34,2246,1622,135,44,11449,21,131,3,105,2481.0,9,385
26,18P004,4.2399998,1259,234,48,0,773,243,107,37,2861,5,108,156,161,127.0,71,9
27,18P006,3.24,1282,605,19,0,12,265,130,51,943,12,121,0,80,37.0,66,437
28,18P007,3.6400001,1293,651,25,0,14,286,246,60,982,19,146,0,94,36.0,69,488
29,18P008,4.1399999,1411,586,19,3,14,315,198,68,1188,16,129,0,166,129.0,74,512
30,18P009,3.1400001,1536,294,62,0,541,228,186,14,1897,4,110,2,141,63.0,231,5
31,18P010,2.9400001,1567,294,62,0,541,228,186,14,1897,4,110,2,141,63.0,231,5
32,18P011,2.4400001,1568,294,62,0,541,228,186,14,1897,4,110,2,141,63.0,231,5
33,18P012,3.3399999,1570,624,22,6,17,301,315,21,3950,11,171,2,96,54.0,92,151
34,18P013,3.3399999,1570,482,45,0,459,222,121,9,1813,3,133,3,118,100.0,90,6
35,18P014,3.3399999,1628,501,26,0,15,302,209,44,874,7,142,0,142,51.0,97,454
36,18P015,4.8400002,1659,732,26,4,8,274,230,53,889,12,131,0,72,116.0,92,607
37,18P016,4.8400002,1659,686,40,0,11,238,77,16,963,4,125,0,82,60.0,65,641
38,18P017,3.4400001,1703,616,33,0,12,289,342,125,810,18,164,0,68,47.0,87,495
39,18P018,3.4400001,1703,581,42,4,24,248,156,63,849,15,116,0,102,141.0,104,635
40,18P020,2.8399999,1739,512,17,0,15,286,187,71,853,8,151,0,77,57.0,107,515
41,18P021,2.9400001,1780,565,27,7,15,330,327,47,3995,12,179,4,79,47.0,137,102
42,18P022,2.9400001,1780,607,26,5,12,356,365,23,3956,18,225,4,102,44.0,94,136
43,18P023,2.9400001,1780,582,26,4,16,363,400,23,3973,19,209,4,135,51.0,113,115
44,18P024,3.6400001,1815,361,36,0,626,252,119,21,2487,2,131,113,124,84.0,68,9
45,18P025,3.24,1842,719,26,0,18,268,200,52,867,7,149,0,94,56.0,98,669
46,18P026,3.24,1842,718,26,0,18,269,201,52,867,7,149,0,95,56.0,99,669
47,18P027,3.24,1842,719,26,0,18,267,199,52,869,7,148,0,94,56.0,98,669
48,18P028,3.3399999,1851,591,34,6,13,290,118,53,3897,16,136,3,64,47.0,97,127
49,18P029,3.1500001,1828,533,34,24,2264,1686,77,7,11641,16,125,3,85,2492.0,13,357
50,18P030,3.45,1774,270,48,30,2400,1650,120,13,12670,30,150,8,110,3040.0,7,370
51,18P031,3.05,1769,533,34,24,2264,1686,77,7,11641,16,125,3,85,2492.0,13,357
52,18P032,3.55,1768,533,34,24,2264,1686,77,7,11641,16,125,3,85,2492.0,13,357
53,18P033,3.3499999,1730,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
54,18P034,3.3499999,1730,398,39,27,2207,1634,94,14,11498,25,138,3,99,2409.0,10,387
55,18P035,3.3499999,1730,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
56,18P036,3.3499999,1730,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
57,18P037,3.3499999,1730,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
58,18P038,3.3499999,1730,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
59,18P039,3.3499999,1730,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
60,18P040,3.3499999,1730,345,52,31,2310,1642,57,5,11660,16,116,3,114,2536.0,10,367
61,18P041,3.3499999,1730,398,39,27,2207,1634,94,14,11498,25,138,3,99,2409.0,10,387
62,18P042,3.6500001,1726,398,39,27,2207,1634,94,14,11498,25,138,3,99,2409.0,10,387
63,18P043,3.1500001,1714,421,50,28,2194,1736,88,64,11395,13,133,4,128,2386.0,16,320
64,18P044,3.1500001,1714,279,49,30,2411,1701,71,65,11637,14,130,9,147,2487.0,10,372
65,18P045,3.1500001,1714,279,49,30,2411,1701,71,65,11637,14,130,9,147,2487.0,10,372
66,18P046,3.25,1690,527,42,31,2189,1675,134,52,11695,19,137,3,105,2639.0,14,374
67,18P047,3.25,1690,353,46,30,2220,1736,102,11,11185,22,131,3,104,2545.0,14,369
68,18P048,3.25,1690,353,46,30,2220,1736,102,11,11185,22,131,3,104,2545.0,14,369
69,18P049,2.75,1656,398,46,34,2265,1707,104,52,11524,14,123,2,81,2570.0,8,381
70,18P050,3.25,1666,398,46,34,2265,1707,104,52,11524,14,123,2,81,2570.0,8,381
71,18P051,3.25,1666,290,42,32,2231,1658,148,86,11403,26,169,2,93,2561.0,7,329
72,18P052,3.25,1666,398,46,34,2265,1707,104,52,11524,14,123,2,81,2570.0,8,381
73,18P053,3.25,1666,398,46,34,2265,1707,104,52,11524,14,123,2,81,2570.0,8,381
74,18P054,3.25,1666,527,42,31,2189,1675,134,52,11695,19,137,3,105,2639.0,14,374
75,18P055,3.25,1666,398,46,34,2265,1707,104,52,11524,14,123,2,81,2570.0,8,381
76,18P056,3.6500001,1645,353,46,30,2220,1736,102,11,11185,22,131,3,104,2545.0,14,369
77,18P057,3.6500001,1645,293,50,29,2244,1724,152,21,11551,19,127,2,96,2551.0,6,393
78,18P058,3.6500001,1645,376,54,33,2393,1593,117,87,11595,29,150,4,93,2504.0,10,414
79,18P059,3.6500001,1645,527,42,31,2189,1675,134,52,11695,19,137,3,105,2639.0,14,374
80,18P060,3.6500001,1645,527,42,31,2189,1675,134,52,11695,19,137,3,105,2639.0,14,374
81,18P061,3.6500001,1645,527,42,31,2189,1675,134,52,11695,19,137,3,105,2639.0,14,374
82,18P062,3.75,1629,330,53,31,2300,1669,164,72,11594,16,140,3,115,2674.0,6,382
83,18P063,3.75,1629,330,53,31,2300,1669,164,72,11594,16,140,3,115,2674.0,6,382
84,18P064,3.75,1629,330,53,31,2300,1669,164,72,11594,16,140,3,115,2674.0,6,382
85,18P065,3.75,1629,330,53,31,2300,1669,164,72,11594,16,140,3,115,2674.0,6,382
86,18P066,3.55,1629,336,47,34,2246,1622,135,44,11449,21,131,3,105,2481.0,9,385
87,18P067,3.05,1629,336,47,34,2246,1622,135,44,11449,21,131,3,105,2481.0,9,385
88,18P068,3.55,1626,336,47,34,2246,1622,135,44,11449,21,131,3,105,2481.0,9,385
89,18P069,3.75,1625,279,49,30,2411,1701,71,65,11637,14,130,9,147,2487.0,10,372
90,18P070,3.75,1625,279,49,30,2411,1701,71,65,11637,14,130,9,147,2487.0,10,372
91,18P071,3.8499999,1621,376,54,33,2393,1593,117,87,11595,29,150,4,93,2504.0,10,414
92,18P072,3.1500001,1619,336,47,34,2246,1622,135,44,11449,21,131,3,105,2481.0,9,385
93,18P073,3.25,1617,353,46,30,2220,1736,102,11,11185,22,131,3,104,2545.0,14,369
94,18P074,3.1500001,1614,330,53,31,2300,1669,164,72,11594,16,140,3,115,2674.0,6,382
95,18P075,3.45,1599,336,47,34,2246,1622,135,44,11449,21,131,3,105,2481.0,9,385
