,time,Pinceur Inf Mesure de courant,Pinceur Sup Mesure de courant,Mandrin - Vitesse Actuelle,Pinceur Sup Mesure vitesse lineaire,Pinceur Inf Mesure vitesse lineaire,Mandrin - Mesure Expansion,Pinceur Nord Position entrefer estimee,Pinceur Sud Position entrefer estimee,Pinceur Nord Force entrefer calibree,Pinceur Sud Force entrefer calibree,Guides Nord Entree Position mesuree,Guides Nord Sortie Position mesuree,Guides Nord Entree Force pour regulateur PI,Guides Nord Sortie Force pour regulateur PI,Guides Sud Entree Force pour regulateur PI,Guides Sud Sortie Force pour regulateur PI,Mandrin - Vitesse Actuelle F10,_Excentrage largeur bande jauge bob,_Excentrage largeur bande jauge bob.1,TDB pinceur,Fenetre,Declancheur
6600,30.05.2024 09:51:02.070000,27.9327,67.8955,8.52594,9.607,9.57,31.7713,3.55726,2.47549,17.1171,24.0318,440.63,441.31,7.74026,7.59969,0.376967,-0.235768,8.05474,71.4482,71.4482,1.0,1.0,1
6601,30.05.2024 09:51:02.080000,27.9327,67.8955,8.52594,9.607,9.57,31.7713,3.55726,2.47549,17.1171,24.0318,440.63,441.31,7.74026,7.59969,0.376967,-0.235768,8.05474,71.4482,71.4482,1.0,1.0,1
6602,30.05.2024 09:51:02.090000,49.4385,69.461,8.53,9.625,9.65,31.811,3.66622,2.42447,39.2506,9.62273,438.91,439.565,7.76859,7.69602,0.310596,-0.178445,8.05474,71.4916,71.4916,1.0,1.0,1
6603,30.05.2024 09:51:02.100000,49.4385,69.461,8.53,9.625,9.65,31.811,3.66622,2.42447,39.2506,9.62273,438.91,439.565,7.76859,7.69602,0.310596,-0.178445,8.05474,71.4916,71.4916,1.0,1.0,1
6604,30.05.2024 09:51:02.110000,45.9778,72.4273,8.54118,9.563,9.589,31.7934,3.3695,2.50148,51.2694,9.37038,437.175,437.76,7.93814,7.63281,0.383475,-0.172963,8.05479,73.9005,73.9005,1.0,1.0,1
6605,30.05.2024 09:51:02.120000,121.454,80.0079,8.5342,9.526,9.434,31.7478,2.93538,2.55639,24.0805,24.179,434.0,434.5,6.82772,5.04795,0.312358,-0.227012,8.0552,73.9005,73.9005,1.0,1.0,1
6606,30.05.2024 09:51:02.130000,115.109,88.9892,8.54153,9.527,9.441,31.7321,2.75451,2.61865,24.0805,24.179,434.0,434.5,6.82772,5.04795,0.312358,-0.227012,8.0552,75.557,75.557,1.0,1.0,1
6607,30.05.2024 09:51:02.140000,134.225,100.607,8.54153,9.419,9.379,31.7039,2.58437,2.66083,8.41835,24.0521,432.64,433.12,6.18612,3.90131,0.257674,-0.30066,8.05537,75.557,75.557,1.0,1.0,1
6608,30.05.2024 09:51:02.150000,134.225,100.607,8.53773,9.419,9.379,31.7039,2.4847,2.67476,8.41835,24.0521,432.64,433.12,6.18612,3.90131,0.257674,-0.30066,8.05576,75.557,75.557,1.0,1.0,1
6609,30.05.2024 09:51:02.160000,152.435,114.45,8.53588,9.373,9.374,31.7488,2.53747,2.67332,-3.43149,25.0627,431.295,431.805,5.65091,3.55506,0.256537,-0.2802,8.05576,75.68,75.68,1.0,1.0,1
6610,30.05.2024 09:51:02.170000,175.095,188.361,8.53588,9.299,9.262,31.7488,2.64869,2.65198,-0.324399,28.8316,430.03,430.535,5.47648,3.65885,0.210132,-0.317428,8.05638,75.68,75.68,1.0,1.0,1
6611,30.05.2024 09:51:02.180000,175.095,188.361,8.53588,9.299,9.262,31.7488,2.64869,2.65198,-0.324399,28.8316,430.03,430.535,5.47648,3.65885,0.210132,-0.317428,8.05638,75.68,75.68,1.0,1.0,1
6612,30.05.2024 09:51:02.190000,175.095,188.361,8.53646,9.299,9.262,31.7213,2.80549,2.62724,12.3477,26.571,428.77,429.18,5.81228,4.29759,0.0818129,-0.251292,8.05638,74.3851,74.3851,1.0,1.0,1
