,time,Pinceur Inf Mesure de courant,Pinceur Sup Mesure de courant,Mandrin - Vitesse Actuelle,Pinceur Sup Mesure vitesse lineaire,Pinceur Inf Mesure vitesse lineaire,Mandrin - Mesure Expansion,Pinceur Nord Position entrefer estimee,Pinceur Sud Position entrefer estimee,Pinceur Nord Force entrefer calibree,Pinceur Sud Force entrefer calibree,Guides Nord Entree Position mesuree,Guides Nord Sortie Position mesuree,Guides Nord Entree Force pour regulateur PI,Guides Nord Sortie Force pour regulateur PI,Guides Sud Entree Force pour regulateur PI,Guides Sud Sortie Force pour regulateur PI,Mandrin - Vitesse Actuelle F10,_Excentrage largeur bande jauge bob,_Excentrage largeur bande jauge bob.1,TDB pinceur,Fenetre,Declancheur
40800,30.05.2024 19:25:25.580000,93.9331,98.0529,8.76461,9.026,8.64,39.1226,3.8389,3.73903,46.5982,67.6976,779.98,771.45,6.25606,3.94974,1.67139,-0.910196,7.59931,100.21,100.21,1.0,1.0,1
40801,30.05.2024 19:25:25.590000,105.551,113.132,8.72859,8.882,8.63,39.0555,3.8389,3.73903,46.5982,67.6976,778.3,769.75,6.27312,3.90279,1.67322,-0.872983,7.59931,100.21,100.21,1.0,1.0,1
40802,30.05.2024 19:25:25.600000,105.551,113.132,8.72859,8.882,8.63,39.0555,3.8389,3.73903,46.5982,67.6976,778.3,769.75,6.27312,3.90279,1.67322,-0.872983,7.59931,100.21,100.21,1.0,1.0,1
40803,30.05.2024 19:25:25.610000,105.551,113.132,8.72859,8.882,8.63,39.0555,3.94954,3.89478,62.0381,74.5578,777.445,768.935,6.02442,3.91281,1.66958,-0.868219,7.59973,100.42,100.42,1.0,1.0,1
40804,30.05.2024 19:25:25.620000,128.787,255.844,8.70457,8.713,8.312,39.0874,3.76703,3.92657,55.0887,75.7442,775.76,767.28,6.43995,4.32086,1.91133,-0.917175,7.60068,100.203,100.203,1.0,1.0,1
40805,30.05.2024 19:25:25.630000,155.896,255.844,8.71025,8.612,8.312,39.1441,3.49081,3.76085,47.3312,75.509,774.085,765.56,6.51971,4.72657,1.9774,-0.906854,7.60185,100.224,100.224,1.0,1.0,1
40806,30.05.2024 19:25:25.640000,155.896,255.844,8.71025,8.612,8.312,39.1441,3.49081,3.76085,47.3312,75.509,774.085,765.56,6.51971,4.72657,1.9774,-0.906854,7.60185,100.224,100.224,1.0,1.0,1
40807,30.05.2024 19:25:25.650000,237.14,301.245,8.71635,8.661,8.2,39.0913,3.258,3.54167,33.5997,62.341,773.215,764.69,5.97906,4.30442,2.06751,-0.858936,7.60185,100.224,100.224,1.0,1.0,1
40808,30.05.2024 19:25:25.660000,284.354,308.249,8.70968,8.696,8.084,39.0871,3.20865,3.2716,21.2048,43.1111,771.535,763.035,5.80621,4.15655,2.01778,-0.880315,7.60295,100.217,100.217,1.0,1.0,1
40809,30.05.2024 19:25:25.670000,345.08,361.478,8.7068,8.517,7.924,39.0871,3.20865,3.2716,21.2048,43.1111,769.855,761.335,5.80701,4.3589,2.00703,-0.926433,7.60295,100.217,100.217,1.0,1.0,1
