,time,Pinceur Inf Mesure de courant,Pinceur Sup Mesure de courant,Mandrin - Vitesse Actuelle,Pinceur Sup Mesure vitesse lineaire,Pinceur Inf Mesure vitesse lineaire,Mandrin - Mesure Expansion,Pinceur Nord Position entrefer estimee,Pinceur Sud Position entrefer estimee,Pinceur Nord Force entrefer calibree,Pinceur Sud Force entrefer calibree,Guides Nord Entree Position mesuree,Guides Nord Sortie Position mesuree,Guides Nord Entree Force pour regulateur PI,Guides Nord Sortie Force pour regulateur PI,Guides Sud Entree Force pour regulateur PI,Guides Sud Sortie Force pour regulateur PI,Mandrin - Vitesse Actuelle F10,_Excentrage largeur bande jauge bob,_Excentrage largeur bande jauge bob.1,TDB pinceur,Fenetre,Declancheur
114000,31.05.2024 14:07:24.610000,137.439,80.5023,6.88082,7.044,6.878,41.0916,4.93825,3.93204,56.827,23.4005,496.12,497.07,4.20958,7.22261,-0.330174,0.431834,5.98931,28.9135,28.9135,1.0,1.0,1
114001,31.05.2024 14:07:24.620000,210.113,116.345,6.88082,6.859,6.66,40.9605,5.00582,3.92607,56.827,23.4005,496.12,497.07,4.20958,7.22261,-0.330174,0.431834,5.98931,27.6837,27.6837,1.0,1.0,1
114002,31.05.2024 14:07:24.630000,210.113,116.345,6.88906,6.859,6.66,40.9605,4.9267,3.95412,65.0662,21.9502,494.41,495.33,4.42048,6.95847,-0.337792,0.361376,5.98979,27.6837,27.6837,1.0,1.0,1
114003,31.05.2024 14:07:24.640000,210.113,116.345,6.88906,6.859,6.66,40.9605,4.9267,3.95412,65.0662,21.9502,494.41,495.33,4.42048,6.95847,-0.337792,0.361376,5.98979,27.6837,27.6837,1.0,1.0,1
114004,31.05.2024 14:07:24.650000,299.844,160.181,6.88654,6.789,6.517,40.8702,4.63849,4.11792,53.7904,43.206,492.765,493.635,4.27795,6.14052,-0.391976,0.387312,5.99008,27.785,27.785,1.0,1.0,1
114005,31.05.2024 14:07:24.660000,299.844,160.181,6.88654,6.789,6.517,40.8702,4.63849,4.11792,53.7904,43.206,492.765,493.635,4.27795,6.14052,-0.391976,0.387312,5.99008,27.785,27.785,1.0,1.0,1
114006,31.05.2024 14:07:24.670000,431.598,180.615,6.88353,6.822,6.218,40.876,4.20553,4.15437,37.7047,50.5788,491.255,492.15,3.89464,4.51706,-0.485818,0.312855,5.99093,29.0509,29.0509,1.0,1.0,1
114007,31.05.2024 14:07:24.680000,431.598,180.615,6.88353,6.822,6.218,40.876,4.20553,4.15437,37.7047,50.5788,491.255,492.15,3.89464,4.51706,-0.485818,0.312855,5.99093,29.0509,29.0509,1.0,1.0,1
114008,31.05.2024 14:07:24.690000,570.849,284.106,6.88659,6.61,6.0,40.8836,3.77945,4.20895,22.056,41.6106,489.875,490.805,3.34166,3.76702,-0.420777,0.393856,5.9937,29.0509,29.0509,1.0,1.0,1
114009,31.05.2024 14:07:24.700000,645.337,427.972,6.88634,6.396,6.086,40.8826,3.83001,4.1716,12.1358,43.0757,488.555,489.42,3.05151,3.79692,-0.39462,0.346136,5.99454,29.0437,29.0437,1.0,1.0,1
114010,31.05.2024 14:07:24.710000,645.337,427.972,6.88457,6.396,6.086,40.8826,3.92617,4.12187,19.249,54.2384,487.265,488.09,3.0327,3.79901,-0.47025,0.315087,5.99454,29.0437,29.0437,1.0,1.0,1
114011,31.05.2024 14:07:24.720000,645.337,427.972,6.88457,6.396,6.086,40.8826,3.92617,4.12187,19.249,54.2384,487.265,488.09,3.0327,3.79901,-0.47025,0.315087,5.99454,29.0437,29.0437,1.0,1.0,1
114012,31.05.2024 14:07:24.730000,623.749,504.931,6.87776,6.334,6.136,40.7962,4.18154,3.99514,19.249,54.2384,487.265,488.09,3.0327,3.79901,-0.47025,0.315087,5.9954,29.0437,29.0437,1.0,1.0,1
114013,31.05.2024 14:07:24.740000,641.546,590.872,6.88558,6.252,6.132,40.8195,4.38535,3.89637,37.7358,21.1908,484.645,485.365,3.88402,5.10126,-0.418279,0.370146,5.99653,27.134,27.134,1.0,1.0,1
114014,31.05.2024 14:07:24.750000,648.138,662.805,6.88535,6.14,6.109,40.8547,4.42899,3.87964,37.7358,21.1908,484.645,485.365,3.88402,5.10126,-0.418279,0.370146,5.99741,27.9152,27.9152,1.0,1.0,1
114015,31.05.2024 14:07:24.760000,648.138,662.805,6.88535,6.14,6.109,40.8547,4.42549,3.85494,43.9796,27.6971,483.28,483.92,4.81651,6.07048,-0.457543,0.343424,5.99741,27.9152,27.9152,1.0,1.0,1
114016,31.05.2024 14:07:24.770000,688.843,686.535,6.88703,6.037,6.021,40.9267,4.37251,3.82788,43.2952,27.129,481.825,482.425,5.60538,6.8574,-0.491765,0.308663,5.99768,27.9152,27.9152,1.0,1.0,1
114017,31.05.2024 14:07:24.780000,705.322,692.633,6.88703,6.026,5.97,40.9559,4.27688,3.8241,43.2952,27.129,481.825,482.425,5.60538,6.8574,-0.491765,0.308663,5.99768,28.0961,28.0961,1.0,1.0,1
