,time,Pinceur Inf Mesure de courant,Pinceur Sup Mesure de courant,Mandrin - Vitesse Actuelle,Pinceur Sup Mesure vitesse lineaire,Pinceur Inf Mesure vitesse lineaire,Mandrin - Mesure Expansion,Pinceur Nord Position entrefer estimee,Pinceur Sud Position entrefer estimee,Pinceur Nord Force entrefer calibree,Pinceur Sud Force entrefer calibree,Guides Nord Entree Position mesuree,Guides Nord Sortie Position mesuree,Guides Nord Entree Force pour regulateur PI,Guides Nord Sortie Force pour regulateur PI,Guides Sud Entree Force pour regulateur PI,Guides Sud Sortie Force pour regulateur PI,Mandrin - Vitesse Actuelle F10,_Excentrage largeur bande jauge bob,_Excentrage largeur bande jauge bob.1,TDB pinceur,Fenetre,Declancheur
117600,31.05.2024 15:05:05.060000,74.5697,36.0077,7.28264,7.583,7.486,35.2189,4.53248,3.74504,42.9195,17.346,528.605,529.31,5.99064,6.0536,0.0939436,-0.00684834,6.33387,4.28964,4.28964,1.0,1.0,1
117601,31.05.2024 15:05:05.070000,140.9,64.3524,7.28264,7.545,7.296,35.2189,4.58023,3.74476,42.9195,17.346,528.605,529.31,5.99064,6.0536,0.0939436,-0.00684834,6.33387,3.0816,3.0816,1.0,1.0,1
117602,31.05.2024 15:05:05.080000,140.9,64.3524,7.28264,7.545,7.296,35.2189,4.58023,3.74476,42.9195,17.346,528.605,529.31,5.99064,6.0536,0.0939436,-0.00684834,6.33387,3.0816,3.0816,1.0,1.0,1
117603,31.05.2024 15:05:05.090000,156.885,89.6484,7.29045,7.422,7.254,35.1533,4.50044,3.77986,51.795,19.5746,526.845,527.56,5.80262,6.10859,0.0466795,0.00755787,6.33407,3.08883,3.08883,1.0,1.0,1
117604,31.05.2024 15:05:05.100000,156.885,89.6484,7.29045,7.422,7.254,35.1533,4.50044,3.77986,51.795,19.5746,526.845,527.56,5.80262,6.10859,0.0466795,0.00755787,6.33407,3.08883,3.08883,1.0,1.0,1
117605,31.05.2024 15:05:05.110000,197.671,106.128,7.28779,7.355,7.18,35.1921,4.11188,3.92881,41.7303,36.4619,525.075,525.805,5.48818,5.90762,0.0393858,-0.0369349,6.33415,1.74334,1.74334,1.0,1.0,1
117606,31.05.2024 15:05:05.120000,267.874,108.188,7.28064,7.331,7.003,35.1781,3.8262,3.96658,32.091,41.8227,523.405,524.165,4.82103,4.97601,0.0901213,-0.046771,6.33417,1.74334,1.74334,1.0,1.0,1
117607,31.05.2024 15:05:05.130000,267.874,108.188,7.28064,7.331,7.003,35.1781,3.8262,3.96658,32.091,41.8227,523.405,524.165,4.82103,4.97601,0.0901213,-0.046771,6.33417,1.74334,1.74334,1.0,1.0,1
117608,31.05.2024 15:05:05.140000,335.44,134.225,7.28188,7.267,6.946,35.1781,3.70165,3.98331,17.4893,30.9839,521.855,522.695,4.16854,4.22608,0.050559,-0.0976496,6.33476,1.74334,1.74334,1.0,1.0,1
117609,31.05.2024 15:05:05.150000,335.44,134.225,7.28188,7.267,6.946,35.1781,3.70165,3.98331,17.4893,30.9839,521.855,522.695,4.16854,4.22608,0.050559,-0.0976496,6.33476,1.74334,1.74334,1.0,1.0,1
117610,31.05.2024 15:05:05.160000,393.283,197.177,7.28268,7.16,6.811,35.2115,3.83119,3.97753,14.9373,35.4404,520.31,521.225,3.57337,4.49962,0.0242071,-0.0502501,6.33548,0.687204,0.687204,1.0,1.0,1
117611,31.05.2024 15:05:05.170000,393.283,197.177,7.28268,7.16,6.811,35.2115,3.83119,3.97753,14.9373,35.4404,520.31,521.225,3.57337,4.49962,0.0242071,-0.0502501,6.33548,0.687204,0.687204,1.0,1.0,1
117612,31.05.2024 15:05:05.180000,478.482,286.825,7.28252,7.039,6.666,35.061,4.22742,3.86926,24.3485,48.2966,518.81,519.65,3.1318,4.89977,0.037776,-0.0828257,6.3362,0.311054,0.311054,1.0,1.0,1
117613,31.05.2024 15:05:05.190000,531.628,454.257,7.28083,6.836,6.588,34.9815,4.38063,3.84321,42.4333,22.6485,515.825,516.595,3.02166,5.00481,-0.0963793,-0.144956,6.33756,0.311054,0.311054,1.0,1.0,1
117614,31.05.2024 15:05:05.200000,534.347,454.257,7.28083,6.836,6.433,35.0649,4.38314,3.84516,42.4333,22.6485,515.825,516.595,3.02166,5.00481,-0.0963793,-0.144956,6.33756,1.23698,1.23698,1.0,1.0,1
117615,31.05.2024 15:05:05.210000,533.359,518.774,7.28426,6.725,6.356,35.0649,4.29229,3.85229,47.0588,34.0216,514.32,515.08,3.26194,5.40943,-0.127992,-0.128041,6.3389,2.66927,2.66927,1.0,1.0,1
117616,31.05.2024 15:05:05.220000,533.359,518.774,7.28642,6.725,6.356,35.0473,4.19833,3.83291,47.0588,34.0216,514.32,515.08,3.7751,5.89407,-0.159547,-0.199803,6.33962,2.66927,2.66927,1.0,1.0,1
117617,31.05.2024 15:05:05.230000,531.546,535.666,7.28642,6.681,6.212,35.0473,4.07499,3.82835,42.0172,36.5821,512.815,513.54,3.7751,5.89407,-0.159547,-0.199803,6.33962,2.66927,2.66927,1.0,1.0,1
117618,31.05.2024 15:05:05.240000,517.209,545.636,7.28251,6.616,6.17,35.0339,3.9469,3.8415,31.185,20.9737,511.29,512.0,4.47217,6.53901,-0.0733042,-0.146363,6.34034,2.66927,2.66927,1.0,1.0,1
117619,31.05.2024 15:05:05.250000,517.209,545.636,7.27936,6.616,6.17,35.0979,3.72222,3.86226,31.185,20.9737,511.29,512.0,4.47217,6.53901,-0.0733042,-0.146363,6.34034,6.58999,6.58999,1.0,1.0,1
117620,31.05.2024 15:05:05.260000,517.209,538.467,7.27936,6.555,6.138,35.0979,3.65319,3.87052,19.5918,27.1515,509.685,510.395,5.20766,7.26375,-0.0567217,-0.0991201,6.34152,7.74016,7.74016,1.0,1.0,1
117621,31.05.2024 15:05:05.270000,517.209,539.456,7.28372,6.498,6.138,35.1126,3.62615,3.87272,15.0416,38.8321,508.065,508.675,5.76256,7.6547,-0.052495,-0.0997229,6.3417,7.74016,7.74016,1.0,1.0,1
117622,31.05.2024 15:05:05.280000,507.815,539.456,7.28372,6.498,6.187,35.0734,3.6249,3.86237,15.0416,38.8321,508.065,508.675,5.76256,7.6547,-0.052495,-0.0997229,6.3417,7.74016,7.74016,1.0,1.0,1
117623,31.05.2024 15:05:05.290000,512.182,543.576,7.27935,6.448,6.198,35.0734,3.69828,3.82726,14.366,30.7936,506.43,506.955,6.07736,7.51912,-0.152349,-0.145799,6.3425,7.74016,7.74016,1.0,1.0,1
117624,31.05.2024 15:05:05.300000,512.182,543.576,7.283,6.448,6.198,35.1065,3.74795,3.82075,14.366,30.7936,506.43,506.955,6.16518,7.01138,-0.109788,-0.16175,6.34219,7.74016,7.74016,1.0,1.0,1
117625,31.05.2024 15:05:05.310000,512.759,545.801,7.283,6.381,6.341,35.1065,3.79751,3.81869,15.7626,21.4915,504.77,505.255,6.16518,7.01138,-0.109788,-0.16175,6.34219,8.07291,8.07291,1.0,1.0,1
117626,31.05.2024 15:05:05.320000,513.748,539.95,7.28782,6.337,6.367,35.0271,3.8402,3.81805,22.0274,28.2957,503.15,503.64,6.20748,6.64037,-0.145303,-0.148231,6.3428,8.07291,8.07291,1.0,1.0,1
117627,31.05.2024 15:05:05.330000,513.748,539.95,7.29107,6.337,6.367,35.0555,3.91537,3.8099,22.0274,28.2957,503.15,503.64,6.20748,6.64037,-0.145303,-0.148231,6.3428,7.1253,7.1253,1.0,1.0,1
117628,31.05.2024 15:05:05.340000,522.153,544.729,7.29107,6.331,6.354,35.0555,3.9388,3.80249,25.5998,30.398,501.55,501.975,6.42543,6.67329,-0.157113,-0.149386,6.34277,6.35127,6.35127,1.0,1.0,1
117629,31.05.2024 15:05:05.350000,522.153,544.729,7.29107,6.331,6.354,35.0555,3.9388,3.80249,25.5998,30.398,501.55,501.975,6.42543,6.67329,-0.157113,-0.149386,6.34277,6.35127,6.35127,1.0,1.0,1
117630,31.05.2024 15:05:05.360000,522.153,539.456,7.29076,6.385,6.354,35.1045,3.9453,3.80064,29.5132,24.683,499.89,500.32,6.56414,6.69095,-0.0639772,-0.0969534,6.34229,4.60793,4.60793,1.0,1.0,1
117631,31.05.2024 15:05:05.370000,522.153,539.456,7.29076,6.385,6.354,35.1045,3.9453,3.80064,29.5132,24.683,499.89,500.32,6.56414,6.69095,-0.0639772,-0.0969534,6.34229,4.60793,4.60793,1.0,1.0,1
117632,31.05.2024 15:05:05.380000,513.666,553.711,7.28737,6.351,6.327,35.2092,3.89014,3.8065,28.3126,27.6802,498.21,498.715,6.73796,6.54712,-0.110574,-0.0898924,6.34212,2.98033,2.98033,1.0,1.0,1
117633,31.05.2024 15:05:05.390000,513.666,553.711,7.28737,6.351,6.327,35.2092,3.89014,3.8065,28.3126,27.6802,498.21,498.715,6.73796,6.54712,-0.110574,-0.0898924,6.34212,2.98033,2.98033,1.0,1.0,1
117634,31.05.2024 15:05:05.400000,513.748,543.658,7.27986,6.312,6.341,35.1145,3.8165,3.80362,26.0366,30.323,496.525,497.07,6.63666,6.85227,-0.0888224,-0.118482,6.34196,2.97309,2.97309,1.0,1.0,1
117635,31.05.2024 15:05:05.410000,513.748,543.658,7.27986,6.312,6.341,35.1145,3.8165,3.80362,26.0366,30.323,496.525,497.07,6.63666,6.85227,-0.0888224,-0.118482,6.34196,2.97309,2.97309,1.0,1.0,1
117636,31.05.2024 15:05:05.420000,517.621,547.531,7.28657,6.293,6.353,35.0519,3.74725,3.79282,23.6282,28.0146,494.815,495.385,6.6174,7.40683,-0.0229731,-0.154315,6.3423,2.22077,2.22077,1.0,1.0,1
117637,31.05.2024 15:05:05.430000,512.018,543.246,7.28912,6.349,6.307,35.1201,3.73671,3.79169,20.7495,26.6247,491.325,491.995,6.21497,7.43411,-0.0588808,-0.154746,6.34227,2.36545,2.36545,1.0,1.0,1
117638,31.05.2024 15:05:05.440000,510.123,543.246,7.28912,6.349,6.291,35.0548,3.73809,3.79143,20.7495,26.6247,491.325,491.995,6.21497,7.43411,-0.0588808,-0.154746,6.34227,3.47946,3.47946,1.0,1.0,1
117639,31.05.2024 15:05:05.450000,512.924,543.823,7.29239,6.33,6.322,35.0548,3.75838,3.78837,19.9686,26.6464,489.61,490.385,5.63011,7.46882,-0.00731754,-0.0872679,6.34254,4.21007,4.21007,1.0,1.0,1
117640,31.05.2024 15:05:05.460000,512.924,543.823,7.29088,6.33,6.322,35.0882,3.77087,3.7864,19.9686,26.6464,489.61,490.385,5.25641,7.8605,0.304465,-0.134522,6.34273,4.21007,4.21007,1.0,1.0,1
117641,31.05.2024 15:05:05.470000,512.924,543.823,7.29088,6.33,6.322,35.0882,3.77087,3.7864,19.9686,26.6464,489.61,490.385,5.25641,7.8605,0.304465,-0.134522,6.34273,4.21007,4.21007,1.0,1.0,1
117642,31.05.2024 15:05:05.480000,510.452,539.703,7.29088,6.306,6.326,35.0882,3.78609,3.78469,20.4231,25.6281,487.895,488.765,5.25641,7.8605,0.304465,-0.134522,6.34273,4.21007,4.21007,1.0,1.0,1
117643,31.05.2024 15:05:05.490000,512.842,544.482,7.28912,6.316,6.315,35.1393,3.80882,3.78658,22.4774,24.7275,486.145,487.08,4.86896,8.43359,0.468925,-0.0488272,6.34296,5.34578,5.34578,1.0,1.0,1
117644,31.05.2024 15:05:05.500000,512.842,544.482,7.28912,6.316,6.315,35.1393,3.80882,3.78658,22.4774,24.7275,486.145,487.08,4.86896,8.43359,0.468925,-0.0488272,6.34296,5.34578,5.34578,1.0,1.0,1
117645,31.05.2024 15:05:05.510000,503.613,552.887,7.28912,6.325,6.301,35.1393,3.80757,3.78474,22.8113,25.3825,484.42,485.425,4.42475,8.75288,0.525168,0.00723171,6.34262,5.01303,5.01303,1.0,1.0,1
117646,31.05.2024 15:05:05.520000,505.261,545.965,7.29212,6.309,6.304,35.1877,3.78858,3.77574,25.3535,25.2756,482.71,483.785,4.11007,9.25267,0.821986,0.0239096,6.34264,5.01303,5.01303,1.0,1.0,1
